category,year_month,paper_count
cognitive_architecture,2025-06,0
cognitive_architecture,2025-07,0
cognitive_architecture,2025-08,0
cognitive_architecture,2025-09,1
cognitive_architecture,2025-10,1
cognitive_architecture,2025-11,0
cognitive_architecture,2025-12,0
cognitive_architecture,2026-01,0
cognitive_architecture,2026-02,0
cognitive_architecture,2026-03,1
cognitive_architecture,2026-04,1
cognitive_architecture,2026-05,0
benchmarks,2023-01,0
benchmarks,2023-02,0
benchmarks,2023-03,0
benchmarks,2023-04,0
benchmarks,2023-05,0
benchmarks,2023-06,0
benchmarks,2023-07,0
benchmarks,2023-08,0
benchmarks,2023-09,0
benchmarks,2023-10,0
benchmarks,2023-11,0
benchmarks,2023-12,0
benchmarks,2024-01,0
benchmarks,2024-02,2
benchmarks,2024-03,0
benchmarks,2024-04,0
benchmarks,2024-05,0
benchmarks,2024-06,0
benchmarks,2024-07,0
benchmarks,2024-08,0
benchmarks,2024-09,0
benchmarks,2024-10,0
benchmarks,2024-11,0
benchmarks,2024-12,0
benchmarks,2025-01,0
benchmarks,2025-02,1
benchmarks,2025-03,0
benchmarks,2025-04,0
benchmarks,2025-05,3
benchmarks,2025-06,0
benchmarks,2025-07,0
benchmarks,2025-08,0
benchmarks,2025-09,0
benchmarks,2025-10,0
benchmarks,2025-11,1
benchmarks,2025-12,2
benchmarks,2026-01,0
benchmarks,2026-02,0
benchmarks,2026-03,1
benchmarks,2026-04,2
benchmarks,2026-05,0
