source_id,name,repo_url,homepage_url,source_categories,source_url,phase1_priority
antgroup,NextChat,https://github.com/ChatGPTNextWeb/NextChat,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,OM1,https://github.com/OpenMind/OM1,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,OmniParser,https://github.com/microsoft/OmniParser,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,OpenHands,https://github.com/OpenHands/OpenHands,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,OpenManus,https://github.com/FoundationAgents/OpenManus,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,OpenMetadata,https://github.com/open-metadata/OpenMetadata,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,OpenSandbox,https://github.com/alibaba/OpenSandbox,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,OpenSpec,https://github.com/Fission-AI/OpenSpec,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,Paddle,https://github.com/PaddlePaddle/Paddle,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,QwenPaw,https://github.com/agentscope-ai/QwenPaw,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,RLinf,https://github.com/RLinf/RLinf,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,Second-Me,https://github.com/mindverse/Second-Me,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,SillyTavern,https://github.com/SillyTavern/SillyTavern,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,TransformerEngine,https://github.com/NVIDIA/TransformerEngine,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,Vane,https://github.com/ItzCrazyKns/Vane,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,activepieces,https://github.com/activepieces/activepieces,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,adk-python,https://github.com/google/adk-python,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,agent-browser,https://github.com/vercel-labs/agent-browser,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,agentscope,https://github.com/agentscope-ai/agentscope,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,agno,https://github.com/agno-agi/agno,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,ai,https://github.com/vercel/ai,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,aibrix,https://github.com/vllm-project/aibrix,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,airbyte,https://github.com/airbytehq/airbyte,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,airflow,https://github.com/apache/airflow,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,anything-llm,https://github.com/Mintplex-Labs/anything-llm,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,autogen,https://github.com/microsoft/autogen,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,autoresearch,https://github.com/karpathy/autoresearch,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,avante.nvim,https://github.com/yetone/avante.nvim,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,beads,https://github.com/gastownhall/beads,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,bolt.new,https://github.com/stackblitz/bolt.new,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,browser-harness,https://github.com/browser-use/browser-harness,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,camel,https://github.com/camel-ai/camel,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,cc-switch,https://github.com/farion1231/cc-switch,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,chatbox,https://github.com/chatboxai/chatbox,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,cherry-studio,https://github.com/CherryHQ/cherry-studio,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,claude-code,https://github.com/anthropics/claude-code,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,cline,https://github.com/cline/cline,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,coder,https://github.com/coder/coder,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,context7,https://github.com/upstash/context7,,,https://github.com/antgroup/agentic-ai-landscape,1
antgroup,continue,https://github.com/continuedev/continue,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,copilot-cli,https://github.com/github/copilot-cli,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,cudf,https://github.com/rapidsai/cudf,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,cutlass,https://github.com/NVIDIA/cutlass,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,cvat,https://github.com/cvat-ai/cvat,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,dagger,https://github.com/dagger/dagger,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,dask,https://github.com/dask/dask,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,datachain,https://github.com/datachain-ai/datachain,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,datahub,https://github.com/datahub-project/datahub,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,dbt-core,https://github.com/dbt-labs/dbt-core,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,deer-flow,https://github.com/bytedance/deer-flow,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,delta,https://github.com/delta-io/delta,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,dify,https://github.com/langgenius/dify,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,docling,https://github.com/docling-project/docling,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,dynamo,https://github.com/ai-dynamo/dynamo,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,eigent,https://github.com/eigent-ai/eigent,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,everything-claude-code,https://github.com/affaan-m/everything-claude-code,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,flash-attention,https://github.com/Dao-AILab/flash-attention,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,flashinfer,https://github.com/flashinfer-ai/flashinfer,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,gemini-cli,https://github.com/google-gemini/gemini-cli,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,genesis-world,https://github.com/Genesis-Embodied-AI/genesis-world,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,goose,https://github.com/aaif-goose/goose,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,gpt4all,https://github.com/nomic-ai/gpt4all,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,gpustack,https://github.com/gpustack/gpustack,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,gradio,https://github.com/gradio-app/gradio,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,gravitino,https://github.com/apache/gravitino,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,haystack,https://github.com/deepset-ai/haystack,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,hermes-agent,https://github.com/NousResearch/hermes-agent,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,higress,https://github.com/higress-group/higress,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,hindsight,https://github.com/vectorize-io/hindsight,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,hive,https://github.com/aden-hive/hive,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,hudi,https://github.com/apache/hudi,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,iceberg,https://github.com/apache/iceberg,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,inference,https://github.com/xorbitsai/inference,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,jax,https://github.com/jax-ml/jax,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,keras,https://github.com/keras-team/keras,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,kilocode,https://github.com/Kilo-Org/kilocode,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,kimi-cli,https://github.com/MoonshotAI/kimi-cli,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,koordinator,https://github.com/koordinator-sh/koordinator,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,kserve,https://github.com/kserve/kserve,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,ktransformers,https://github.com/kvcache-ai/ktransformers,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,label-studio,https://github.com/HumanSignal/label-studio,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,langchain,https://github.com/langchain-ai/langchain,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,langflow,https://github.com/langflow-ai/langflow,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,langgraph,https://github.com/langchain-ai/langgraph,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,lerobot,https://github.com/huggingface/lerobot,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,letta,https://github.com/letta-ai/letta,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,llama.cpp,https://github.com/ggml-org/llama.cpp,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,llama_index,https://github.com/run-llama/llama_index,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,llm-d,https://github.com/llm-d/llm-d,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,lmdeploy,https://github.com/InternLM/lmdeploy,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,lobehub,https://github.com/lobehub/lobehub,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,marimo,https://github.com/marimo-team/marimo,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,mcp-context-forge,https://github.com/IBM/mcp-context-forge,,,https://github.com/antgroup/agentic-ai-landscape,1
antgroup,memU,https://github.com/NevaMind-AI/memU,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,mistral.rs,https://github.com/EricLBuehler/mistral.rs,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,mlc-llm,https://github.com/mlc-ai/mlc-llm,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,mlrun,https://github.com/mlrun/mlrun,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,mlx,https://github.com/ml-explore/mlx,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,modular,https://github.com/modular/modular,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,ms-swift,https://github.com/modelscope/ms-swift,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,multica,https://github.com/multica-ai/multica,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,n8n,https://github.com/n8n-io/n8n,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,nanobot,https://github.com/HKUDS/nanobot,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,nccl,https://github.com/NVIDIA/nccl,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,neovate-code,https://github.com/neovateai/neovate-code,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,new-api,https://github.com/QuantumNous/new-api,,,https://github.com/antgroup/agentic-ai-landscape,4
